scenery,furniture,animal,plant
Bay,ball,Alligator,Apple
cave,bed,Alpaca,Apricot
Cliff,book,Anteater,Bamboo
cloud,Bookcase,Ants,Banana
desert,Bowl,Bats,Bean
farmland,cabinet,bear,Bougainvillea
flowergarden,cart,Bee,carrot
Forests,chair,bird,Clove
glacier,chests,Buffalo,Coconut
grassland,clock,Butterfly,CoffeePlant
horizon,Clothes,Camel,Corn
lighthouse,desks,Cat,CornelianTree
Mountains,fridge,Caterpillar,CottonPlant
river,pan,Cheetah,Dogwood
sky,Piano,Chicken,Durian
valley,sofa,Civet,Fern
volcano,spoon,Cock,Fig
waterfall,table,Cockroaches,Flax
,Umbrella,Coral,Flower
,,cows,Frangipani
,,Crab,Grass
,,Dog,Hibiscus
,,donkey,JackFruit
,,Dragonfly,Lantana
,,Duck,Moss
,,Elephant,Mushroom
,,Fish,OrchidTree
,,flamingo,PalmTree
,,Flies,Pea
,,fox,radish
,,Frog,RangoonCreeper
,,Giraffe,Reed
,,horse,Rose
,,Jellyfish,Tulip
,,Lizard,watermelon
,,Monkey,Weed
,,Mosquito,wheat
,,Owl,
,,panda,
,,Pangolins,
,,pig,
,,Rabbit,
,,scorpion,
,,shrimp,
,,Snail,
,,Snake,
,,Spider,
,,tiger,
,,Turtle,
,,Whale,
